time(s),Dist_cmd(m),Dept_cmd(m),AOA_cmd(Deg),SwingAng_cmd(Deg),BoomAng_cmd(Deg),ArmAng_cmd(Deg),BktAng_cmd(Deg),Dist_cur(m),Dept_cur(m),AOA_cur(Deg),SwingAng_cur(Deg),BoomAng_cur(Deg),ArmAng_cur(Deg),BktAng_cur(Deg),excavation state
1716454811.4440508,7.760508844909641,-1.5493331546297013,-36.1,-12.4,25.0,-104.7,43.6,7.282518715196743,-1.165203177891623,-61.40000000000001,35.7,33.1,-101.7,7.2,init_state
1716454811.5547552,7.760508844909641,-1.5493331546297013,-36.1,-12.4,25.0,-104.7,43.6,7.327369866576086,-1.1292536992387188,-59.99999999999999,35.7,33.2,-101.6,8.4,init_state
1716454811.657491,7.760508844909641,-1.5493331546297013,-36.1,-12.4,25.0,-104.7,43.6,7.358949367911143,-1.1106148119227894,-58.9,35.7,33.2,-101.6,9.5,init_state
1716454811.7641654,7.760508844909641,-1.5493331546297013,-36.1,-12.4,25.0,-104.7,43.6,7.392984605880472,-1.0895942205220877,-57.699999999999996,35.7,33.2,-101.6,10.7,init_state
1716454811.8679209,7.760508844909641,-1.5493331546297013,-36.1,-12.4,25.0,-104.7,43.6,7.415951496472953,-1.0735317959541306,-56.70000000000001,35.7,33.2,-101.7,11.8,init_state
1716454811.9708865,7.760508844909641,-1.5493331546297013,-36.1,-12.4,25.0,-104.7,43.6,7.443653407232062,-1.054986983065233,-55.70000000000002,35.7,33.2,-101.7,12.8,init_state
1716454812.0813165,7.760508844909641,-1.5493331546297013,-36.1,-12.4,25.0,-104.7,43.6,7.497396434028601,-1.0203169386001851,-54.1,35.7,33.2,-101.5,14.2,init_state
1716454812.1844378,7.760508844909641,-1.5493331546297013,-36.1,-12.4,25.0,-104.7,43.6,7.578542038431665,-0.9680801688188185,-52.00000000000001,35.7,33.2,-101.0,15.8,init_state
1716454812.3167214,7.760508844909641,-1.5493331546297013,-36.1,-12.4,25.0,-104.7,43.6,7.675776202049559,-0.8984624130909935,-49.2,35.7,33.2,-100.5,18.1,init_state
1716454812.4205077,7.760508844909641,-1.5493331546297013,-36.1,-12.4,25.0,-104.7,43.6,7.757818076426518,-0.8366154975341658,-46.9,35.7,33.2,-100.0,19.9,init_state
1716454812.523136,7.760508844909641,-1.5493331546297013,-36.1,-12.4,25.0,-104.7,43.6,7.849641432593174,-0.7629755877504603,-44.300000000000004,35.7,33.2,-99.4,21.9,init_state
1716454812.6308837,7.760508844909641,-1.5493331546297013,-36.1,-12.4,25.0,-104.7,43.6,7.921934306493361,-0.698199015518733,-42.0,35.6,33.2,-99.0,23.8,init_state
1716454812.7336018,7.760508844909641,-1.5493331546297013,-36.1,-12.4,25.0,-104.7,43.6,8.003185204817136,-0.6212468065405601,-39.40000000000001,35.4,33.2,-98.5,25.9,init_state
1716454812.8423111,7.760508844909641,-1.5493331546297013,-36.1,-12.4,25.0,-104.7,43.6,8.051554733923052,-0.5640727713688818,-37.30000000000002,35.1,33.2,-98.4,28.1,init_state
